"day","sourceCurrencyId","targetCurrencyId","rate"
20140430,2,1,35.71400000
20140430,2,3,0.72202000
20140430,2,2,1.00000000
20140430,2,6,1.76810000
20140430,3,5,1.51910000
20140430,3,8,27.45400000
20140430,3,9,7.46390000
20140430,3,4,0.82300000
20140430,3,7,4.20240000
20140430,3,10,4.44880000
20140430,3,1,49.46400000
20140430,3,2,1.38500000
20140430,3,3,1.00000000
20140430,3,6,2.44020000
20140430,4,5,1.84580000
20140430,4,8,33.35800000
20140430,4,9,9.06910000
20140430,4,7,5.10620000
20140430,4,10,5.40560000
20140430,4,1,60.10200000
20140430,4,2,1.68290000
20140430,4,3,1.21510000
20140430,4,4,1.00000000
20140430,4,6,2.97180000
20140430,5,8,18.07300000
20140430,5,9,4.91340000
20140430,5,4,0.54177000
20140430,5,7,2.76640000
20140430,5,10,2.92860000
20140430,5,1,32.56100000
20140430,5,2,0.91172000
20140430,5,3,0.65828000
20140430,5,5,1.00000000
20140430,5,6,1.61270000
20140430,7,5,0.36148000
20140430,7,8,6.53290000
20140430,7,9,1.77610000
20140430,7,4,0.19584000
20140430,7,10,1.05860000
20140430,7,1,11.77000000
20140430,7,2,0.32957000
20140430,7,3,0.23796000
20140430,7,7,1.00000000
20140430,7,6,0.58145000
20140430,8,5,0.05533300
20140430,8,9,0.27187000
20140430,8,4,0.02997700
20140430,8,7,0.15307000
20140430,8,10,0.16205000
20140430,8,1,1.80170000
20140430,8,2,0.05044800
20140430,8,3,0.03642500
20140430,8,8,1.00000000
20140430,8,6,0.08892500
20140430,9,5,0.20353000
20140430,9,8,3.67820000
20140430,9,4,0.11026000
20140430,9,7,0.56303000
20140430,9,10,0.59604000
20140430,9,1,6.62710000
20140430,9,2,0.18556000
20140430,9,3,0.13398000
20140430,9,9,1.00000000
20140430,10,5,0.34146000
20140430,10,8,6.17110000
20140430,10,9,1.67770000
20140430,10,4,0.18499000
20140430,10,7,0.94461000
20140430,10,1,11.11900000
20140430,10,2,0.31132000
20140430,10,3,0.22478000
20140430,10,10,1.00000000
20140430,6,1,20.17100000
20140430,6,2,0.56558000
20140430,6,3,0.40981000
20140430,6,4,0.33650000
20140430,6,5,0.62008000
20140430,6,6,1.00000000
20140430,6,7,1.71980000
20140430,6,8,11.24500000
20140501,1,5,0.03071100
20140501,1,8,0.55503000
20140501,1,9,0.15090000
20140501,1,4,0.01663800
20140501,1,7,0.08495900
20140501,1,10,0.08994000
20140501,1,2,0.02800000
20140501,1,3,0.02021700
20140501,1,1,1.00000000
20140501,1,6,0.04960500
20140501,2,5,1.09680000
20140501,2,8,19.82200000
20140501,2,9,5.38910000
20140501,2,4,0.59422000
20140501,2,7,3.03420000
20140501,2,10,3.21210000
20140501,2,1,35.71400000
20140501,2,3,0.72202000
20140501,2,2,1.00000000
20140501,2,6,1.76590000
20140501,3,5,1.51910000
20140501,3,8,27.45400000
20140501,3,9,7.46390000
20140501,3,4,0.82300000
20140501,3,7,4.20240000
20140501,3,10,4.44880000
20140501,3,1,49.46400000
20140501,3,2,1.38500000
20140501,3,3,1.00000000
20140501,3,6,2.45180000
20140501,4,5,1.84580000
20140501,4,8,33.35800000
20140501,4,9,9.06910000
20140501,4,7,5.10620000
20140501,4,10,5.40560000
20140501,4,1,60.10200000
20140501,4,2,1.68290000
20140501,4,3,1.21510000
20140501,4,4,1.00000000
20140501,4,6,2.98230000
20140501,5,8,18.07300000
20140501,5,9,4.91340000
20140501,5,4,0.54177000
20140501,5,7,2.76640000
20140501,5,10,2.92860000
20140501,5,1,32.56100000
20140501,5,2,0.91172000
20140501,5,3,0.65828000
20140501,5,5,1.00000000
20140501,5,6,1.60970000
20140501,7,5,0.36148000
20140501,7,8,6.53290000
20140501,7,9,1.77610000
20140501,7,4,0.19584000
20140501,7,10,1.05860000
20140501,7,1,11.77000000
20140501,7,2,0.32957000
20140501,7,3,0.23796000
20140501,7,7,1.00000000
20140501,7,6,0.58352000
20140501,8,5,0.05533300
20140501,8,9,0.27187000
20140501,8,4,0.02997700
20140501,8,7,0.15307000
20140501,8,10,0.16205000
20140501,8,1,1.80170000
20140501,8,2,0.05044800
20140501,8,3,0.03642500
20140501,8,8,1.00000000
20140501,8,6,0.08931500
20140501,9,5,0.20353000
20140501,9,8,3.67820000
20140501,9,4,0.11026000
20140501,9,7,0.56303000
20140501,9,10,0.59604000
20140501,9,1,6.62710000
20140501,9,2,0.18556000
20140501,9,3,0.13398000
20140501,9,9,1.00000000
20140501,10,5,0.34146000
20140501,10,8,6.17110000
20140501,10,9,1.67770000
20140501,10,4,0.18499000
20140501,10,7,0.94461000
20140501,10,1,11.11900000
20140501,10,2,0.31132000
20140501,10,3,0.22478000
20140501,10,10,1.00000000
20140501,6,1,20.15900000
20140501,6,2,0.56628000
20140501,6,3,0.40786000
20140501,6,4,0.33532000
20140501,6,5,0.62122000
20140501,6,6,1.00000000
20140501,6,7,1.71370000
20140501,6,8,11.19600000
20140502,1,5,0.03061400
20140502,1,8,0.55275000
20140502,1,9,0.15033000
20140502,1,4,0.01654400
20140502,1,7,0.08466300
20140502,1,10,0.08932100
20140502,1,2,0.02791900
20140502,1,3,0.02014100
20140502,1,1,1.00000000
20140502,1,6,0.04941200
20140502,2,5,1.09650000
20140502,2,8,19.79800000
20140502,2,9,5.38460000
20140502,2,4,0.59256000
20140502,2,7,3.03240000
20140502,2,10,3.19920000
20140502,2,1,35.81700000
20140502,2,3,0.72140000
20140502,2,2,1.00000000
20140502,2,6,1.76170000
20140502,3,5,1.52000000
20140502,3,8,27.44400000
20140502,3,9,7.46410000
20140502,3,4,0.82140000
20140502,3,7,4.20350000
20140502,3,10,4.43480000
20140502,3,1,49.65000000
20140502,3,2,1.38620000
20140502,3,3,1.00000000
20140502,3,6,2.44140000
20140502,4,5,1.85050000
20140502,4,8,33.41100000
20140502,4,9,9.08700000
20140502,4,7,5.11750000
20140502,4,10,5.39910000
20140502,4,1,60.44600000
20140502,4,2,1.68760000
20140502,4,3,1.21740000
20140502,4,4,1.00000000
20140502,4,6,2.97380000
20140502,5,8,18.05500000
20140502,5,9,4.91060000
20140502,5,4,0.54039000
20140502,5,7,2.76550000
20140502,5,10,2.91760000
20140502,5,1,32.66400000
20140502,5,2,0.91197000
20140502,5,3,0.65789000
20140502,5,5,1.00000000
20140502,5,6,1.60750000
20140502,7,5,0.36160000
20140502,7,8,6.52880000
20140502,7,9,1.77570000
20140502,7,4,0.19541000
20140502,7,10,1.05500000
20140502,7,1,11.81200000
20140502,7,2,0.32977000
20140502,7,3,0.23790000
20140502,7,7,1.00000000
20140502,7,6,0.58188000
20140502,8,5,0.05538600
20140502,8,9,0.27198000
20140502,8,4,0.02993000
20140502,8,7,0.15317000
20140502,8,10,0.16159000
20140502,8,1,1.80910000
20140502,8,2,0.05051000
20140502,8,3,0.03643800
20140502,8,8,1.00000000
20140502,8,6,0.08891800
20140502,9,5,0.20364000
20140502,9,8,3.67680000
20140502,9,4,0.11005000
20140502,9,7,0.56316000
20140502,9,10,0.59415000
20140502,9,1,6.65180000
20140502,9,2,0.18572000
20140502,9,3,0.13397000
20140502,9,9,1.00000000
20140502,10,5,0.34274000
20140502,10,8,6.18830000
20140502,10,9,1.68310000
20140502,10,4,0.18522000
20140502,10,7,0.94784000
20140502,10,1,11.19600000
20140502,10,2,0.31257000
20140502,10,3,0.22549000
20140502,10,10,1.00000000
20140502,6,1,20.23800000
20140502,6,2,0.56765000
20140502,6,3,0.40960000
20140502,6,4,0.33627000
20140502,6,5,0.62210000
20140502,6,6,1.00000000
20140502,6,7,1.71860000
20140502,6,8,11.24600000
20140503,1,5,0.03061400
20140503,1,8,0.55275000
20140503,1,9,0.15033000
20140503,1,4,0.01654400
20140503,1,7,0.08466300
20140503,1,10,0.08932100
20140503,1,2,0.02791900
20140503,1,3,0.02014100
20140503,1,1,1.00000000
20140503,1,6,0.04941200
20140503,2,5,1.09650000
20140503,2,8,19.79800000
20140503,2,9,5.38460000
20140503,2,4,0.59256000
20140503,2,7,3.03240000
20140503,2,10,3.19920000
20140503,2,1,35.81700000
20140503,2,3,0.72140000
20140503,2,2,1.00000000
20140503,2,6,1.76170000
20140503,3,5,1.52000000
20140503,3,8,27.44400000
20140503,3,9,7.46410000
20140503,3,4,0.82140000
20140503,3,7,4.20350000
20140503,3,10,4.43480000
20140503,3,1,49.65000000
20140503,3,2,1.38620000
20140503,3,3,1.00000000
20140503,3,6,2.44140000
20140503,4,5,1.85050000
20140503,4,8,33.41100000
20140503,4,9,9.08700000
20140503,4,7,5.11750000
20140503,4,10,5.39910000
20140503,4,1,60.44600000
20140503,4,2,1.68760000
20140503,4,3,1.21740000
20140503,4,4,1.00000000
20140503,4,6,2.97380000
20140503,5,8,18.05500000
20140503,5,9,4.91060000
20140503,5,4,0.54039000
20140503,5,7,2.76550000
20140503,5,10,2.91760000
20140503,5,1,32.66400000
20140503,5,2,0.91197000
20140503,5,3,0.65789000
20140503,5,5,1.00000000
20140503,5,6,1.60750000
20140503,7,5,0.36160000
20140503,7,8,6.52880000
20140503,7,9,1.77570000
20140503,7,4,0.19541000
20140503,7,10,1.05500000
20140503,7,1,11.81200000
20140503,7,2,0.32977000
20140503,7,3,0.23790000
20140503,7,7,1.00000000
20140503,7,6,0.58188000
20140503,8,5,0.05538600
20140503,8,9,0.27198000
20140503,8,4,0.02993000
20140503,8,7,0.15317000
20140503,8,10,0.16159000
20140503,8,1,1.80910000
20140503,8,2,0.05051000
20140503,8,3,0.03643800
20140503,8,8,1.00000000
20140503,8,6,0.08891800
20140503,9,5,0.20364000
20140503,9,8,3.67680000
20140503,9,4,0.11005000
20140503,9,7,0.56316000
20140503,9,10,0.59415000
20140503,9,1,6.65180000
20140503,9,2,0.18572000
20140503,9,3,0.13397000
20140503,9,9,1.00000000
20140503,10,5,0.34274000
20140503,10,8,6.18830000
20140503,10,9,1.68310000
20140503,10,4,0.18522000
20140503,10,7,0.94784000
20140503,10,1,11.19600000
20140503,10,2,0.31257000
20140503,10,3,0.22549000
20140503,10,10,1.00000000
20140503,6,1,20.23800000
20140503,6,2,0.56765000
20140503,6,3,0.40960000
20140503,6,4,0.33627000
20140503,6,5,0.62210000
20140503,6,6,1.00000000
20140503,6,7,1.71860000
20140503,6,8,11.24600000
20140504,1,5,0.03061400
20140504,1,8,0.55275000
20140504,1,9,0.15033000
20140504,1,4,0.01654400
20140504,1,7,0.08466300
20140504,1,10,0.08932100
20140504,1,2,0.02791900
20140504,1,3,0.02014100
20140504,1,1,1.00000000
20140504,1,6,0.04913300
20140504,2,5,1.09650000
20140504,2,8,19.79800000
20140504,2,9,5.38460000
20140504,2,4,0.59256000
20140504,2,7,3.03240000
20140504,2,10,3.19920000
20140504,2,1,35.81700000
20140504,2,3,0.72140000
20140504,2,2,1.00000000
20140504,2,6,1.75990000
20140504,3,5,1.52000000
20140504,3,8,27.44400000
20140504,3,9,7.46410000
20140504,3,4,0.82140000
20140504,3,7,4.20350000
20140504,3,10,4.43480000
20140504,3,1,49.65000000
20140504,3,2,1.38620000
20140504,3,3,1.00000000
20140504,3,6,2.44160000
20140504,4,5,1.85050000
