DATE,CLOSE_USD,CLOSE_EUR,CLOSE_ZOL,CLOSE_NEFT,CLOSE_SER
2015-05-09,50.7511,56.8971,1933.95,57.29,26.61
2015-05-10,,,,,
2015-05-11,,,,,
2015-05-12,50.7511,56.8971,,,
2015-05-13,50.913999999999994,57.1102,1938.85,57.92,26.94
2015-05-14,49.5366,55.7138,1900.02,59.1,26.52
2015-05-15,50.0774,57.1383,1955.78,58.89,28.01
2015-05-16,50.0115,56.9881,1955.7,59.05,27.74
2015-05-17,,,,,
2015-05-18,,,,,
2015-05-19,49.2175,56.103,1943.4,60.17,28.01
2015-05-20,49.1777,55.1085,1928.39,62.71,27.51
2015-05-21,49.7919,55.2441,1931.82,63.94,27.33
2015-05-22,49.9204,55.5714,1941.38,63.72,27.57
2015-05-23,49.7901,55.5508,1938.55,64.0,27.61
2015-05-24,,,,,
2015-05-25,,,,,
2015-05-26,49.8613,54.7477,1930.26,63.48,27.65
2015-05-27,50.3223,54.8412,1931.77,61.78,27.16
2015-05-28,51.0178,55.6757,1948.38,62.85,27.33
2015-05-29,52.2907,57.1433,1999.68,64.75,28.04
2015-05-30,52.9716,58.0145,2027.34,65.49,28.39
2015-05-31,,,,,
2015-06-01,,,,,
2015-06-02,52.8213,57.702,2016.32,65.44,28.21
2015-06-03,53.4413,58.6037,2042.48,64.65,28.69
2015-06-04,53.059,59.113,2024.2,64.57,28.32
2015-06-05,54.9908,61.9471,2090.56,65.6,29.12
2015-06-06,56.2463,63.3221,2126.45,66.8,29.21
2015-06-07,,,,,
2015-06-08,,,,,
2015-06-09,56.0435,62.5053,2114.28,66.51,28.94
2015-06-10,55.91,63.0721,2122.9,67.33,28.99
2015-06-11,54.8219,62.2064,2090.4,67.11,28.43
2015-06-12,54.5285,61.4754,2069.57,68.34,27.82
2015-06-13,,,,,
2015-06-14,,,,,
2015-06-15,,,,,
2015-06-16,55.2679,62.1045,2093.64,67.45,28.31
2015-06-17,54.0409,61.104,2053.84,66.32,27.85
2015-06-18,53.8999,60.7452,2042.25,65.59,27.69
2015-06-19,53.3301,60.6417,2054.09,66.13,27.85
2015-06-20,53.8006,60.913000000000004,2072.47,65.51,27.88
2015-06-21,,,,,
2015-06-22,,,,,
2015-06-23,53.5569,60.8567,2055.42,67.82,27.88
2015-06-24,54.2081,61.0546,2062.38,67.04,27.82
2015-06-25,54.0746,60.5852,2044.09,66.65,27.63
2015-06-26,54.6026,61.1986,2062.03,66.86,27.68
2015-06-27,54.8126,61.4066,2069.6,66.91,27.9
2015-06-28,,,,,
2015-06-29,,,,,
2015-06-30,55.523999999999994,61.5206,2100.21,66.3,28.26
2015-07-01,55.8413,62.3803,2109.52,64.45,28.19
2015-07-02,55.4756,61.6556,2089.82,64.96,27.88
2015-07-03,55.6555,61.5661,2083.36,66.48,27.93
2015-07-04,55.6049,61.7492,2088.52,65.57,27.96
2015-07-05,,,,,
2015-07-06,,,,,
2015-07-07,56.4112,62.4246,2111.55,65.49,28.27
2015-07-08,57.2192,63.0441,2145.48,65.9,28.72
2015-07-09,57.2174,63.0822,2123.34,63.89,27.58
2015-07-10,56.9803,63.043,2128.92,62.25,28.18
2015-07-11,56.6685,62.9474,2117.82,62.85,28.15
2015-07-12,,,,,
2015-07-13,,,,,
2015-07-14,56.6079,62.9819,2101.99,65.45,28.12
2015-07-15,56.9774,62.6239,2112.51,65.19,27.99
2015-07-16,56.6642,62.3986,2103.72,64.98,27.89
2015-07-17,56.9504,62.1841,2096.67,66.1,27.34
2015-07-18,56.8423,61.9183,2088.86,64.46,27.43
2015-07-19,,,,,
2015-07-20,,,,,
2015-07-21,56.8336,61.6929,2037.37,62.81,27.12
