Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015
Fiji,FJI,"Population, total",SP.POP.TOTL,859952,867327,874158,880487,886450,892145
France,FRA,"Population, total",SP.POP.TOTL,65027512,65342776,65659790,65972097,66268972,66538391
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,48567,48492,48393,48292,48221,48199
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,103619,103476,103516,103718,104044,104460
Gabon,GAB,"Population, total",SP.POP.TOTL,1541936,1577298,1613489,1650351,1687673,1725292
United Kingdom,GBR,"Population, total",SP.POP.TOTL,62766365,63258918,63700300,64128226,64613160,65128861
Georgia,GEO,"Population, total",SP.POP.TOTL,3926000,3875000,3825000,3776000,3727000,3717100
Ghana,GHA,"Population, total",SP.POP.TOTL,24317734,24928503,25544565,26164432,26786598,27409893
Gibraltar,GIB,"Population, total",SP.POP.TOTL,30732,31067,31402,31720,31997,32217
Guinea,GIN,"Population, total",SP.POP.TOTL,11012406,11316351,11628767,11948726,12275527,12608590
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,1693002,1749099,1807108,1866878,1928201,1990924
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1634196,1673509,1714620,1757138,1800513,1844325
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,728710,750918,773729,797082,820885,845060
Greece,GRC,"Population, total",SP.POP.TOTL,11121341,11104899,11045011,10965211,10892413,10820883
Grenada,GRD,"Population, total",SP.POP.TOTL,104677,105070,105476,105902,106349,106825
Greenland,GRL,"Population, total",SP.POP.TOTL,56905,56890,56810,56483,56295,56114
Guatemala,GTM,"Population, total",SP.POP.TOTL,14732261,15049280,15368759,15690793,16015494,16342897
Guam,GUM,"Population, total",SP.POP.TOTL,159440,160858,162807,165121,167543,169885
Guyana,GUY,"Population, total",SP.POP.TOTL,753362,755883,758410,761033,763893,767085
High income,HIC,"Population, total",SP.POP.TOTL,1154477199,1159803652,1166574069,1173441431,1180369627,1187092924
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7024200,7071600,7154600,7187500,7241700,7305700
Honduras,HND,"Population, total",SP.POP.TOTL,7503875,7621414,7736131,7849059,7961680,8075060
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,628333588,646028823,664163813,682730030,701714118,721104105
Croatia,HRV,"Population, total",SP.POP.TOTL,4417781,4280622,4267558,4255689,4238389,4203604
Haiti,HTI,"Population, total",SP.POP.TOTL,9999617,10144890,10288828,10431249,10572029,10711067
Hungary,HUN,"Population, total",SP.POP.TOTL,10000023,9971727,9920362,9893082,9866468,9843028
IBRD only,IBD,"Population, total",SP.POP.TOTL,4306167048,4349148634,4392929953,4436982889,4480843270,4524263791
IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,5794291446,5870423954,5947631288,6025812993,6104601986,6183773503
IDA total,IDA,"Population, total",SP.POP.TOTL,1488124398,1521275320,1554701335,1588830104,1623758716,1659509712
